mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
10,10,1,OO,5836,ORD,157,8.18,51,27
1,4,1,OO,5866,ORD,466,15.50,102,NA
11,22,1,OO,6016,ORD,738,7.17,127,-19
2,14,5,B6,199,JFK,2248,21.17,365,60
5,25,3,WN,1675,SJC,386,12.92,85,22
3,28,1,B6,377,LGA,1076,13.33,182,70
5,28,6,B6,904,ORD,740,9.58,130,47
1,19,2,UA,820,SFO,679,12.75,123,135
8,5,5,US,2175,LGA,214,13.00,71,-10
5,27,5,AA,1240,ORD,1197,14.42,195,-11
8,20,6,B6,119,JFK,1182,14.67,198,20
2,3,1,AA,1881,JFK,1090,15.92,200,-9
8,26,5,B6,35,JFK,1028,20.58,193,102
4,9,5,AA,336,ORD,733,20.50,125,32
3,8,2,UA,678,ORD,733,10.95,129,55
8,10,3,OH,6347,LGA,292,11.75,102,8
8,14,0,UA,624,ORD,612,17.92,109,57
4,8,4,OH,5585,JFK,301,13.25,88,23
1,14,4,UA,1524,SFO,414,14.87,91,27
1,2,6,AA,1341,ORD,1846,7.50,275,26
6,13,0,WN,468,SFO,337,6.92,80,-10
4,18,0,WN,3582,SJC,621,12.58,110,1
4,12,1,WN,873,SJC,333,16.33,70,11
11,31,3,US,349,SMF,647,9.17,113,7
2,22,6,OO,6669,ORD,1186,10.25,194,21
10,2,0,US,2144,LGA,185,21.00,67,-11
0,16,3,OO,6026,SFO,372,14.77,88,-14
0,1,2,OO,5886,ORD,84,16.83,46,NA
0,3,4,OO,5655,SMF,86,10.70,54,42
9,17,5,WN,760,SMF,404,6.25,85,30
5,8,0,OO,3897,ORD,1249,13.25,216,194
6,14,1,UA,152,SFO,1846,18.67,244,-12
2,10,1,B6,347,JFK,1041,13.00,178,24
5,5,4,UA,33,JFK,2475,20.58,384,23
6,7,1,AA,2337,ORD,802,16.08,145,18
11,21,0,B6,174,SJC,2569,21.92,321,NA
2,3,1,AA,368,ORD,733,13.33,130,18
6,7,1,UA,606,ORD,612,9.08,106,18
5,27,5,UA,1220,SJC,948,7.67,156,-3
0,18,5,OO,6134,SFO,363,7.23,80,24
11,24,3,UA,544,SFO,550,19.43,107,47
0,6,0,US,1737,LGA,544,13.08,122,-36
11,1,1,AA,301,ORD,258,8.33,70,73
7,13,3,US,2165,LGA,214,8.00,66,-7
2,30,0,UA,662,ORD,843,19.25,135,96
4,20,2,B6,221,JFK,2465,9.42,361,-9
11,2,2,UA,148,ORD,678,15.65,130,73
1,28,4,UA,1224,ORD,678,9.50,115,-5
6,7,1,AA,2275,LGA,764,12.92,145,9
2,14,5,OH,5081,LGA,1011,10.00,197,33
0,7,1,B6,904,ORD,740,9.42,130,4
0,29,2,AA,333,LGA,733,13.58,160,150
7,14,4,B6,399,LGA,950,21.08,158,101
4,12,1,OH,5245,LGA,641,15.17,140,NA
6,14,1,UA,943,ORD,1745,15.28,258,17
9,19,0,WN,1679,SMF,479,9.17,90,-5
3,2,3,B6,395,LGA,950,14.92,176,88
1,24,0,AA,1843,ORD,1721,11.50,275,-14
4,12,1,UA,802,SJC,948,6.50,164,-26
4,8,4,AA,1745,ORD,1745,9.75,260,21
11,16,2,B6,1402,SFO,1504,8.75,205,34
0,28,1,UA,820,SFO,679,12.83,123,16
6,31,4,WN,3775,SMF,358,6.75,70,-6
4,4,0,UA,388,ORD,599,9.67,109,31
3,24,4,AA,20,SFO,2586,15.42,330,-14
0,25,5,AA,1228,TUS,1437,13.08,204,354
4,28,3,UA,39,SFO,2338,16.50,321,73
6,4,5,AA,2464,ORD,740,17.00,150,-33
11,15,1,WN,642,SJC,417,16.42,75,42
1,17,0,AA,133,JFK,2475,16.08,380,-16
3,15,2,US,286,SJC,621,19.00,113,-22
7,15,5,US,493,SJC,621,16.17,114,36
6,8,2,US,401,ORD,1440,18.92,217,30
5,25,3,OH,5046,JFK,508,20.17,145,-1
6,13,0,OO,5549,SFO,262,7.08,80,-1
2,23,0,OO,6408,SFO,451,13.87,94,-4
2,3,1,AA,2313,ORD,802,9.33,150,78
11,9,2,AA,1559,LGA,1097,16.17,190,22
10,14,5,UA,1512,SFO,651,10.92,120,-13
7,16,6,UA,745,LGA,1619,14.18,259,-12
8,28,0,AA,358,ORD,733,16.00,140,-15
8,9,2,AA,1169,ORD,1041,14.33,165,-3
7,2,6,UA,676,ORD,733,10.12,132,35
11,21,0,UA,515,ORD,1781,20.50,274,78
6,3,4,UA,70,OGG,3303,20.17,395,-7
4,31,6,AA,2079,ORD,1723,8.17,260,15
4,22,4,UA,684,ORD,733,14.00,139,105
1,14,4,WN,414,SFO,337,7.08,90,-25
4,27,2,UA,941,ORD,1745,17.00,261,22
7,20,3,OH,5306,JFK,740,9.25,170,0
0,31,4,AA,382,ORD,733,9.75,120,35
9,1,3,OO,5964,ORD,174,6.97,53,-16
11,11,4,B6,117,JFK,1182,7.25,212,38
8,5,5,OO,5551,SFO,86,7.58,43,NA
0,1,2,UA,566,ORD,606,18.33,119,41
8,2,2,UA,730,ORD,622,17.92,112,8
6,2,3,AA,782,ORD,1012,19.25,150,151
4,20,2,OH,5570,LGA,461,19.52,122,72
0,8,2,AA,3,JFK,2475,12.00,370,0
5,3,2,AA,1635,JFK,1597,8.00,235,1
7,13,3,B6,381,LGA,1076,16.33,189,-12
10,6,4,OH,6707,JFK,213,18.67,109,27
3,17,4,WN,122,TUS,451,8.33,95,102
0,5,6,UA,39,SFO,2338,18.87,328,40
2,12,3,UA,188,SFO,2521,22.33,320,18
6,27,0,OO,6529,ORD,109,13.27,56,-1
5,5,4,WN,1795,SMF,480,6.42,90,-15
3,24,4,AA,751,LGA,1389,14.42,230,-12
7,11,1,UA,477,ORD,1723,11.92,250,4
1,25,1,OO,5866,ORD,466,15.58,102,NA
6,20,0,AA,2296,ORD,678,11.75,120,98
5,13,5,OO,5964,ORD,174,6.65,54,NA
0,13,0,OH,5189,JFK,892,18.58,200,-18
8,10,3,B6,153,JFK,944,16.50,182,-17
1,18,1,OO,5902,ORD,224,13.17,65,34
8,21,0,AA,2309,ORD,802,8.58,145,NA
2,16,0,OH,4948,LGA,647,21.42,143,3
4,7,3,OO,5914,ORD,323,14.33,80,59
3,26,6,UA,212,ORD,723,16.75,123,NA
5,26,4,OH,5166,LGA,585,20.50,131,35
10,13,4,B6,1087,JFK,541,21.67,130,51
0,7,1,UA,444,ORD,865,8.13,142,27
1,18,1,AA,2033,JFK,1391,14.92,245,38
3,11,5,AA,1847,JFK,1391,7.67,225,NA
9,10,5,HA,595,OGG,100,21.00,34,4
7,3,0,OH,5458,JFK,199,8.67,98,-16
2,22,6,UA,10,SFO,2586,13.50,324,0
2,1,6,OH,5046,JFK,508,20.08,157,19
7,11,1,UA,257,ORD,1739,8.17,263,8
8,10,3,OO,5496,SFO,191,22.42,67,-13
1,9,6,AA,366,ORD,733,14.33,130,-24
2,18,2,US,46,SFO,651,12.17,116,27
5,4,3,OH,5466,ORD,740,11.83,140,175
7,2,6,HA,155,OGG,100,8.67,34,NA
2,20,4,B6,221,JFK,2465,8.42,375,32
9,16,4,UA,11,JFK,2586,11.00,389,5
6,18,5,B6,36,JFK,264,21.00,99,62
5,8,0,B6,215,JFK,2465,15.92,356,27
5,20,5,WN,2428,SJC,569,16.58,100,24
11,19,5,UA,818,ORD,719,21.35,128,120
7,26,2,OO,5451,SFO,250,18.50,80,-13
6,15,2,WN,792,SJC,188,17.00,55,-7
1,19,2,WN,1538,SMF,647,18.75,110,1
3,23,3,UA,41,SFO,2447,9.17,335,10
11,26,5,WN,2314,SJC,948,18.75,145,50
5,11,3,B6,393,LGA,950,7.50,158,-5
4,31,6,B6,922,ORD,867,18.92,140,-5
5,1,0,B6,215,JFK,2465,15.92,356,42
